name,url,upwork
Mindshare,https://ar.linkedin.com/company/mindshare?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Pan American Energy,https://ar.linkedin.com/company/pan-american-energy?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
S&P Global Market Intelligence,https://ar.linkedin.com/showcase/s&p-global-market-intelligence/?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
GRUNDFOS,https://ar.linkedin.com/company/grundfos?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Herbalife,https://ar.linkedin.com/company/herbalife?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Launchmaps,https://ar.linkedin.com/company/launchmaps?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
"Secretaría de Trabajo, Empleo y Seguridad Social de la Nación",https://ar.linkedin.com/company/sectrabajoar?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Telecom Argentina,https://ar.linkedin.com/company/telecom-argentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
MSC Cruises,https://ar.linkedin.com/company/msc-cruises?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
LA VIRGINIA,https://ar.linkedin.com/company/la-virginia-s-a?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
FMC Corporation,https://ar.linkedin.com/company/fmc-corporation?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Manpower Argentina,https://ar.linkedin.com/company/manpower-arg?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
DLA Piper,https://ar.linkedin.com/company/dla-piper?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Teladoc Health,https://ar.linkedin.com/company/teladoc-health?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Cencosud S.A.,https://ar.linkedin.com/company/cencosud-s-a-?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Cambridge University Press & Assessment,https://ar.linkedin.com/company/cambridge-university-press-and-assessment?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
The Clorox Company,https://ar.linkedin.com/company/the-clorox-company?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Worldline,https://ar.linkedin.com/company/worldlineglobal?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
AD Ports Group,https://ar.linkedin.com/company/adportsgroup?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Gympass,https://ar.linkedin.com/company/gympass?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Protiviti,https://ar.linkedin.com/company/protiviti?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Marvell Technology,https://ar.linkedin.com/company/marvell?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Tecpetrol,https://ar.linkedin.com/company/tecpetrol?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Hill + Knowlton Strategies,https://ar.linkedin.com/company/hillandknowlton?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Dana Incorporated,https://ar.linkedin.com/company/dana-incorporated?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ZonaJobs,https://ar.linkedin.com/company/zonajobs?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Franklin Templeton Investments,https://ar.linkedin.com/company/franklin-templeton?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Gobierno de la Ciudad de Buenos Aires,https://ar.linkedin.com/company/gobierno-de-la-ciudad-de-buenos-aires?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Western Union,https://ar.linkedin.com/company/western-union?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
NEORIS,https://ar.linkedin.com/company/neoris?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Department for Business and Trade,https://ar.linkedin.com/company/department-for-business-and-trade?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
ICON plc,https://ar.linkedin.com/company/icon-plc-2?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Pampa Energía,https://ar.linkedin.com/company/pampa-energia?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Natixis Corporate & Investment Banking,https://ar.linkedin.com/company/natixis-corporate-investment-banking?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Multiplier,https://ar.linkedin.com/company/usemultiplier?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Philips Lighting,https://ar.linkedin.com/company/philips-lighting?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Ferring Pharmaceuticals,https://ar.linkedin.com/company/ferring-pharmaceuticals?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Banco Hipotecario,https://ar.linkedin.com/company/banco-hipotecario?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
TheSoul Publishing,https://ar.linkedin.com/company/thesoul-publishing?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Sabre Corporation,https://ar.linkedin.com/company/sabre-corporation?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
SoftwareOne,https://ar.linkedin.com/company/softwareone?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Ford Argentina,https://ar.linkedin.com/company/fordargentina?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
CMPC,https://ar.linkedin.com/company/somoscmpc?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Red Link S.A.,https://ar.linkedin.com/company/red-link-s-a-?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Automation Anywhere,https://ar.linkedin.com/company/automation-anywhere?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
R/GA,https://ar.linkedin.com/company/r-ga?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
SONDA,https://ar.linkedin.com/company/sonda?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
MuleSoft,https://ar.linkedin.com/company/mulesoft?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
FTI Consulting,https://ar.linkedin.com/company/fti-consulting?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Verisure,https://ar.linkedin.com/company/verisure?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Odoo,https://ar.linkedin.com/company/odoo?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
RWS Group,https://ar.linkedin.com/company/rws-group?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Russell Reynolds Associates,https://ar.linkedin.com/company/russell-reynolds-associates?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
PayU,https://ar.linkedin.com/company/payu?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Habitat for Humanity International,https://ar.linkedin.com/company/habitat-for-humanity-international?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
G-P,https://ar.linkedin.com/company/g-p?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Musimundo,https://ar.linkedin.com/company/musimundo?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Zurich Santander Insurance America,https://ar.linkedin.com/company/zurich-santander-insurance-america?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Valtech,https://ar.linkedin.com/company/valtech?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Coface,https://ar.linkedin.com/company/coface?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
"Turner (Turner Broadcasting System, Inc)",https://ar.linkedin.com/company/turner-broadcasting?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Midea Group,https://ar.linkedin.com/company/mideagroup?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Mattel Latin America,https://ar.linkedin.com/company/mattel-latin-america?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Grupo Dia,https://ar.linkedin.com/company/dia-grupo?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Marfrig Global Foods,https://ar.linkedin.com/company/marfrig-global-foods?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Flybondi,https://ar.linkedin.com/company/flybondi?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Cielo Talent,https://ar.linkedin.com/company/cielo-talent?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Mercado Pago,https://ar.linkedin.com/showcase/mercado-pago/?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
Bausch + Lomb,https://ar.linkedin.com/company/bausch-%26-lomb?trk=companies_directory,https://www.upwork.com/freelancers/~01405df0983a6dffc2
